Date,Goals
"""Aug27""", Establish classroom expectations for Year ‘21-‘22
"""Aug27""",Review knowledge of basic programming
"""Aug27""",Assess knowledge of Javascript
"""Sep03""",Understand different ways of sharing files and data with teammates
"""Sep03""",  Review using github to complete projects together
"""Sep03""",Understand how basic nodejs applications work
"""Sep10""","Successfully fork, clone, edit, commit, push, and pull request the DocPac git repository on GitHub"
"""Sep10""",Begin compiling notebok by writing instructions for initialising a Nodejs project and creating an HTTP server in Nodejs
"""Sep10""",Begin compiling your portfilio by printing out your Nodejs HTTP Server code
"""Sep17""",Import ExpressJS middleware into your Nodejs NTTP server project
"""Sep17""","Create ""endpoints"" users can navigate to in ExpressJS"
"""Sep17""",serve HTML files with CSS stylesheets and JavaScript Files from ExpressJS
"""Sep17""",Create a complete website using ExpressJS and the goals above
"""Sep17""","Learn how to update, replace missing, and print DocPacs"
"""Sep17""",Create a schedule and track it over time
"""Sep24""",Successfully use EJS to create templates to serve with ExpressJS(change the output of a webpage before sending to the user)
"""Sep24""",Use repository branching to organize complex Git projects
"""Sep24""",Review the basics of javascript and prepare to study the language
"""Oct1""",consolidate and organise all notebook tuitorials to this point
"""Oct1""",Learn how to use KanBan boards to manage projects
"""Oct1""",be able to create an ExpressJS HTTP server from memory
"""Oct8""",Establish and document standards for NoteBook entires for your team
"""Oct8""",Create JSON files to store javascript Objects on the hard disk
"""Oct8""",Read JSON files in NodeJS as parse into a javascript object
"""Oct8""",Convert javascript objects to a string to save in a JSON file
"""Oct8""",Use data from a JSON file to populate EJS template with data
"""Oct8""",Read query paramaters with expressJS
"""Oct8""",Save data passed by query paramaters to a JSON file
"""Oct 15""",Ensure your CoDecademy is up to date
"""Oct 15""",Analyze Meritocracy and Team Composition
"""Oct 15""",Understand the difference between HTTP GET and HTTP POST requests
"""Oct 15""",Accept and handle POST requests and parameters in ExpressJS
"""Oct 15""",Send POST requet w/ parameters via Postman
"""Oct 15""",Create an HTML form that can submit form data as a POST request
"""Oct22""",Prepare a Cover Letter and Resumes for your team
"""Oct22""",Prepare for a group interview and receive your choice team project
"""Oct22""","complete the ""scope"" chaper for coDecademy ""Learn Javascript"" course "
"""Oct22""",Upgrade Team website for show comments left by others
"""Oct29""",Prepare for DocPac binder audit
"""Oct29""",Prepare for Team Project interviews
"""Oct29""",Prepare for nodeJS/ExressJS/EJS exam
"""Nov5""",learn to send professional emails
"""Nov5""",develop a personal improvement plan
"""Nov5""",learn about contracts
"""Nov5""",pass the expressjs exam
"""Nov5""",continue CoDecademy
"""Nov12""",receive projects and sign contracts
"""Nov12""",Analyze project requirements and design an MVP
"""Nov12""","Break plans down in to smaller pieces, set goals and timelines"
"""Nov12""",Begin preparing for Quarter 2 exam
"""Nov19""",Design a n MVP
"""Nov19""",Break MVP down in to steps and assign on a KanBan board
"""Nov19""",Schedule meetings
"""Nov19""",Continue CoDecademy
"""Nov19""",Progress Examp Preperation Plan
"""Nov19""",Produce first prototype
"""Dec3""",Bootcamp Javascript every day to build coding skills
"""Dec10""",Use the skills you built in JS Bootcamp to hit your first Team Project goal
"""Dec10""",Practice writing JS Syntax to solve problems
"""Dec10""",Finish CoDecademy
"""Dec10""",Wrap up JS Bootcamp git repos
"""Dec17""",submit coDecademy screenshots in schoology
"""Dec17""",analyze comments and code review on issues and pull requests
"""Dec17""",submit a pull request to your team project that completes a set goal
"""Dec17""",configure gitignore and readme.md
"""Dec17""","determine when to use for, forin, forof, foreach()"
"""Dec17""",Learn basic Javascript graphics generation
"""Dec22""",Print and submit/resubmit all missing DocPacs or DocPacs with missing documents
"""Dec22""",Winter Break Schedule
"""Jan07""",Exanube reqyurenebts fir tge /bictu
"""Jan07""",Develop a plan to pass the performance NOctI
"""Jan07""",Practice the skills required to pass the Exam
"""Jan14""",Develop a Daily Routine
"""Jan14""",Design a flow chart for the Exam
"""Jan14""",Practice the skills required to pass the Exam
"""Jan14""",Present Team Projects to Teacher
"""Jan21""",prepare for exam
"""Jan21""",pass exam
"""Jan28""",Review Reading/Writing to JSON files for Exam
"""Jan28""",Pass Exam
"""Jan28""",Prepare Docpac Binders for grading and review
"""Feb04""",understand requirements for flow charts for nOcti
"""Feb04""",solve a variety of javascript problems that may appear on the nOcti
"""Feb04""",prepare docpac for data analysis 
