Date,Included Documentation,Assignment Name
"""Aug27""",printed,Syllabus
"""Aug27""",Pg. 2,DocPac Expectations
"""Aug27""",Download,Javascript Initial Assessment
"""Sep10""",Pg. 2,Creating your notebook
"""Sep10""",Pg. 2,Creating your Portfolio
"""Sep10""",Pg. 2,DocPacs on Github
"""Sep10""",Download,DocPac Github Repository
"""Sep17""",Pg. 2,ExpressJS Middleware
"""Sep17""",Pg. 2,ExpressJS Team Website
"""Sep24""",Pg. 2,Notebook 4: EJS
"""Sep24""",Pg. 2,Upgrade Your Team Website with EJS
"""Sep24""",Download,Codecademy Setup
"""Sep24""",Download,ExpressJS with EJS Links
"""Oct1""",Download,Notebook Development
"""Oct8""",website,Team Documentation: Notebook Entry Format
"""Oct8""",website,Team Website Upgrade: Load Team Profiles from JSON
"""Oct8""",website, Team Website Upgrade: Save Query Parameters to JSON
"""Oct8""",printed,Analysis: Team Composition
"""Oct15""",notebook,Notebook 5: HTML Submit Form Data
"""Oct15""",notebook,Notebook 6: ExpressJS POST Requests
"""Oct15""",website,Team Website Upgrade: Record Comments with HTML Form
"""Oct22""",pg. 2,Cover Letter
"""Oct22""",pg. 2,Your Resume
"""Oct22""",codeacademy,"Codecademy: Learn Javascript, Scopes. Lesson, Project, and Quiz"
"""Oct22""",printed,Available Team Projects
"""Oct29""",pg. 2,DocPac Binder Audit
"""Oct29""",pg. 2,Team Project Interviews
"""Oct29""",pg. 2,nodeJS/ExpressJS/EJS exam
"""Nov5""",pg. 2,Sending Professional Emails
"""Nov5""",pg. 2,Personal Improvement Plan
"""Nov5""",printed,Personal Improvement Plan
"""Nov12""",pg. 2,Project Assignment Schedule
"""Nov12""",pg. 2,Quarter 2 Exam Expectations
"""Nov12""",printed,Exam Preparation Plan
"""Dec3""",printed,JS Bootcamp Key Take-Aways
"""Dec10""",printed,JS Challenge Pt. 1
"""Dec17""",printed,JS Challenge Pt. 2
"""Dec17""",printed,JS Bootcamp (Dec15) Canvas + Iterators
"""dec22""",(pg. 2),?? Cover letter
"""dec22""",(pg. 2),?? your resume
"""dec22""",codeacademy,"?? Learn Javascript, Scopes. Lesson, Project, and Quiz"
"""dec22""",(pg. 2),??Upgrade Team Website: Comments Section
"""jan7""",printed,Design a Routine
"""jan7""",printed,Lesson Key Takeaways x 3
"""jan7""",printed,JS Challenges Pt. 3
"""jan14""",(pg. 2),Exam Preparation Progress Report
"""jan14""",(pg. 2),Team Project Presentation
"""jan14""",(pg. 2),Design a Routine
"""jan14""",(pg. 3),Reflection
"""jan14""",printed,Lesson Key Takeaways
"""jan14""",printed,JS Challenges Pt .4
"""jan14""",printed,JS Challenges Pt. 5
"""jan21""",(pg. 2),Exam Preparation
"""jan21""",(pg. 3),Reflection
"""jan 28""",(pg. 2),Exam Preparation
"""jan 28""",(pg. 2),DocPac Binder Audit
"""jan 28""",printed,Lesson Key Take-aways
"""jan 28""",printed,Reward System Brainstorm
"""jan 28""",(pg. 3),Reflection
"""feb04""",(pg. 2),Single: Nocti Flowchart  Preparation
"""feb04""",(pg. 2),Teams: DocPac Digitalization
"""feb04""",printed,Pairs: Javascript Challenge #7
"""feb04""",printed,Pairs: Javascript Challenge #8
"""feb04""",(pg. 3),Reflection
